Date,Open,High,Low,Close,Adj Close,Volume,,
"September 09, 2021",11.605,11.605,11.605,11.605,11.449289,0,,
"September 10, 2021",11.605,11.605,11.605,11.605,11.449289,0,,
"September 13, 2021",11.605,11.605,11.605,11.605,11.449289,0,,
"September 14, 2021",11.605,11.605,11.605,11.605,11.449289,0,,
"September 15, 2021",11.373,11.373,11.373,11.373,11.220403,300,,
"September 16, 2021",12.248,12.25,12.05,12.05,11.888319,1000,,
"September 17, 2021",11.21,11.21,11.21,11.21,11.059589,300,,
"September 20, 2021",11.53,12.67,10.96,10.96,10.812943,700,,
"September 21, 2021",10.96,10.96,10.96,10.96,10.812943,0,,
"September 22, 2021",10.96,10.96,10.96,10.96,10.812943,0,,
"September 23, 2021",10.96,10.96,10.96,10.96,10.812943,0,,
"September 24, 2021",10.83,11.185,10.83,11.185,11.034925,1600,,
"September 27, 2021",11.39,11.39,11.39,11.39,11.237175,500,,
"September 28, 2021",11.39,11.39,11.39,11.39,11.237175,0,,
